  Tick   ID   Location   Memory   Time Left     Status
     0    0          0       23          10      READY
     0    1          1       19           3      READY
     0    2          2       24           2      READY
     0    3          4       48           6      READY
     0    4          5       29           8      READY
     0    5          6       26           6      READY
     0    6          7       43           7      READY
     0    7         -1       58           7    WAITING
     0    8          8       40           9      READY
     0    9         -1       47           4    WAITING
     0   10          9       32           6      READY
     0   11         -1       52           4    WAITING
     0   12         -1       62           7    WAITING
     0   13         -1       32           9    WAITING
     0   14         -1       40           2    WAITING
     0   15         -1       61           9    WAITING
     0   16         -1       40           5    WAITING
     0   17         -1       55           8    WAITING
     0   18         -1       34          10    WAITING
     0   19         -1       28           5    WAITING

  Tick   ID   Location   Memory   Time Left     Status
     1    0          0       23           9    RUNNING
     1    1          1       19           2    RUNNING
     1    2          2       24           1    RUNNING
     1    3          4       48           5    RUNNING
     1    4          5       29           8      READY
     1    5          6       26           6      READY
     1    6          7       43           7      READY
     1    7         -1       58           7    WAITING
     1    8          8       40           9      READY
     1    9         -1       47           4    WAITING
     1   10          9       32           6      READY
     1   11         -1       52           4    WAITING
     1   12         -1       62           7    WAITING
     1   13         -1       32           9    WAITING
     1   14         -1       40           2    WAITING
     1   15         -1       61           9    WAITING
     1   16         -1       40           5    WAITING
     1   17         -1       55           8    WAITING
     1   18         -1       34          10    WAITING
     1   19         -1       28           5    WAITING

  Tick   ID   Location   Memory   Time Left     Status
     2    0          0       23           9      READY
     2    1          1       19           2      READY
     2    2          2       24           1      READY
     2    3          4       48           4    RUNNING
     2    4          5       29           7    RUNNING
     2    5          6       26           5    RUNNING
     2    6          7       43           6    RUNNING
     2    7         -1       58           7    WAITING
     2    8          8       40           9      READY
     2    9         -1       47           4    WAITING
     2   10          9       32           6      READY
     2   11         -1       52           4    WAITING
     2   12         -1       62           7    WAITING
     2   13         -1       32           9    WAITING
     2   14         -1       40           2    WAITING
     2   15         -1       61           9    WAITING
     2   16         -1       40           5    WAITING
     2   17         -1       55           8    WAITING
     2   18         -1       34          10    WAITING
     2   19         -1       28           5    WAITING

  Tick   ID   Location   Memory   Time Left     Status
     3    0          0       23           8    RUNNING
     3    1          1       19           1    RUNNING
     3    2          2       24           1      READY
     3    3          4       48           4      READY
     3    4          5       29           7      READY
     3    5          6       26           5      READY
     3    6          7       43           6      READY
     3    7         -1       58           7    WAITING
     3    8          8       40           8    RUNNING
     3    9         -1       47           4    WAITING
     3   10          9       32           5    RUNNING
     3   11         -1       52           4    WAITING
     3   12         -1       62           7    WAITING
     3   13         -1       32           9    WAITING
     3   14         -1       40           2    WAITING
     3   15         -1       61           9    WAITING
     3   16         -1       40           5    WAITING
     3   17         -1       55           8    WAITING
     3   18         -1       34          10    WAITING
     3   19         -1       28           5    WAITING

  Tick   ID   Location   Memory   Time Left     Status
     4    0          0       23           8      READY
     4    1          1       19           1      READY
     4    2         -1       24           0   FINISHED
     4    3          4       48           3    RUNNING
     4    4          5       29           6    RUNNING
     4    5          6       26           4    RUNNING
     4    6          7       43           6      READY
     4    7         -1       58           7    WAITING
     4    8          8       40           8      READY
     4    9         -1       47           4    WAITING
     4   10          9       32           5      READY
     4   11         -1       52           4    WAITING
     4   12         -1       62           7    WAITING
     4   13         -1       32           9    WAITING
     4   14         -1       40           2    WAITING
     4   15         -1       61           9    WAITING
     4   16         -1       40           5    WAITING
     4   17         -1       55           8    WAITING
     4   18         -1       34          10    WAITING
     4   19         -1       28           5    WAITING

  Tick   ID   Location   Memory   Time Left     Status
     5    0          0       23           8      READY
     5    1          1       19           1      READY
     5    2         -1       24           0   FINISHED
     5    3          4       48           3      READY
     5    4          5       29           6      READY
     5    5          6       26           3    RUNNING
     5    6          7       43           5    RUNNING
     5    7         -1       58           7    WAITING
     5    8          8       40           7    RUNNING
     5    9         -1       47           4    WAITING
     5   10          9       32           4    RUNNING
     5   11         -1       52           4    WAITING
     5   12         -1       62           7    WAITING
     5   13         -1       32           9    WAITING
     5   14         -1       40           2    WAITING
     5   15         -1       61           9    WAITING
     5   16         -1       40           5    WAITING
     5   17         -1       55           8    WAITING
     5   18         -1       34          10    WAITING
     5   19         -1       28           5    WAITING

  Tick   ID   Location   Memory   Time Left     Status
     6    0          0       23           7    RUNNING
     6    1         -1       19           0   FINISHED
     6    2         -1       24           0   FINISHED
     6    3          4       48           2    RUNNING
     6    4          5       29           5    RUNNING
     6    5          6       26           3      READY
     6    6          7       43           5      READY
     6    7         -1       58           7    WAITING
     6    8          8       40           7      READY
     6    9          1       47           4      READY
     6   10          9       32           4      READY
     6   11         -1       52           4    WAITING
     6   12         -1       62           7    WAITING
     6   13         -1       32           9    WAITING
     6   14         -1       40           2    WAITING
     6   15         -1       61           9    WAITING
     6   16         -1       40           5    WAITING
     6   17         -1       55           8    WAITING
     6   18         -1       34          10    WAITING
     6   19         -1       28           5    WAITING

  Tick   ID   Location   Memory   Time Left     Status
     7    0          0       23           7      READY
     7    1         -1       19           0   FINISHED
     7    2         -1       24           0   FINISHED
     7    3          4       48           1    RUNNING
     7    4          5       29           4    RUNNING
     7    5          6       26           2    RUNNING
     7    6          7       43           4    RUNNING
     7    7         -1       58           7    WAITING
     7    8          8       40           7      READY
     7    9          1       47           4      READY
     7   10          9       32           4      READY
     7   11         -1       52           4    WAITING
     7   12         -1       62           7    WAITING
     7   13         -1       32           9    WAITING
     7   14         -1       40           2    WAITING
     7   15         -1       61           9    WAITING
     7   16         -1       40           5    WAITING
     7   17         -1       55           8    WAITING
     7   18         -1       34          10    WAITING
     7   19         -1       28           5    WAITING

  Tick   ID   Location   Memory   Time Left     Status
     8    0          0       23           6    RUNNING
     8    1         -1       19           0   FINISHED
     8    2         -1       24           0   FINISHED
     8    3          4       48           1      READY
     8    4          5       29           4      READY
     8    5          6       26           2      READY
     8    6          7       43           4      READY
     8    7         -1       58           7    WAITING
     8    8          8       40           6    RUNNING
     8    9          1       47           3    RUNNING
     8   10          9       32           3    RUNNING
     8   11         -1       52           4    WAITING
     8   12         -1       62           7    WAITING
     8   13         -1       32           9    WAITING
     8   14         -1       40           2    WAITING
     8   15         -1       61           9    WAITING
     8   16         -1       40           5    WAITING
     8   17         -1       55           8    WAITING
     8   18         -1       34          10    WAITING
     8   19         -1       28           5    WAITING

  Tick   ID   Location   Memory   Time Left     Status
     9    0          0       23           6      READY
     9    1         -1       19           0   FINISHED
     9    2         -1       24           0   FINISHED
     9    3         -1       48           0   FINISHED
     9    4          5       29           3    RUNNING
     9    5          6       26           1    RUNNING
     9    6          7       43           3    RUNNING
     9    7          4       58           7      READY
     9    8          8       40           6      READY
     9    9          1       47           3      READY
     9   10          9       32           3      READY
     9   11         -1       52           4    WAITING
     9   12         -1       62           7    WAITING
     9   13         -1       32           9    WAITING
     9   14         -1       40           2    WAITING
     9   15         -1       61           9    WAITING
     9   16         -1       40           5    WAITING
     9   17         -1       55           8    WAITING
     9   18         -1       34          10    WAITING
     9   19         -1       28           5    WAITING

  Tick   ID   Location   Memory   Time Left     Status
    10    0          0       23           6      READY
    10    1         -1       19           0   FINISHED
    10    2         -1       24           0   FINISHED
    10    3         -1       48           0   FINISHED
    10    4          5       29           3      READY
    10    5         -1       26           0   FINISHED
    10    6          7       43           2    RUNNING
    10    7          4       58           7      READY
    10    8          8       40           5    RUNNING
    10    9          1       47           3      READY
    10   10          9       32           2    RUNNING
    10   11         -1       52           4    WAITING
    10   12         -1       62           7    WAITING
    10   13          6       32           9      READY
    10   14         -1       40           2    WAITING
    10   15         -1       61           9    WAITING
    10   16         -1       40           5    WAITING
    10   17         -1       55           8    WAITING
    10   18         -1       34          10    WAITING
    10   19         -1       28           5    WAITING

  Tick   ID   Location   Memory   Time Left     Status
    11    0          0       23           5    RUNNING
    11    1         -1       19           0   FINISHED
    11    2         -1       24           0   FINISHED
    11    3         -1       48           0   FINISHED
    11    4          5       29           2    RUNNING
    11    5         -1       26           0   FINISHED
    11    6          7       43           2      READY
    11    7          4       58           6    RUNNING
    11    8          8       40           5      READY
    11    9          1       47           2    RUNNING
