  Tick   ID   Location   Memory   Time Left     Status  Wasted
     0    0         -1       51           7    WAITING       -
     0    1         -1       17           3    WAITING       -
     0    2          7       60           6      READY       4
     0    3          2       23           2      READY       1
     0    4         -1       25          10    WAITING       -
     0    5          8       40          10      READY       8
     0    6         -1       22           4    WAITING       -
     0    7          1       47           2      READY       1
     0    8          5       43           4      READY       5
     0    9         -1       17           3    WAITING       -
     0   10         -1       49           4    WAITING       -
     0   11          3       16           2      READY       0
     0   12         -1       56           5    WAITING       -
     0   13          4       64           6      READY       0
     0   14         -1       21           5    WAITING       -
     0   15          9       30           8      READY       2
     0   16         -1       55           6    WAITING       -
     0   17          0       32          10      READY       0
     0   18          6       32           5      READY       0
     0   19         -1       33           7    WAITING       -

  Tick   ID   Location   Memory   Time Left     Status  Wasted
     1    0         -1       51           7    WAITING       -
     1    1         -1       17           3    WAITING       -
     1    2          7       60           6      READY       4
     1    3          2       23           1    RUNNING       1
     1    4         -1       25          10    WAITING       -
     1    5          8       40          10      READY       8
     1    6         -1       22           4    WAITING       -
     1    7          1       47           1    RUNNING       1
     1    8          5       43           4      READY       5
     1    9         -1       17           3    WAITING       -
     1   10         -1       49           4    WAITING       -
     1   11          3       16           1    RUNNING       0
     1   12         -1       56           5    WAITING       -
     1   13          4       64           6      READY       0
     1   14         -1       21           5    WAITING       -
     1   15          9       30           8      READY       2
     1   16         -1       55           6    WAITING       -
     1   17          0       32           9    RUNNING       0
     1   18          6       32           5      READY       0
     1   19         -1       33           7    WAITING       -

  Tick   ID   Location   Memory   Time Left     Status  Wasted
     2    0         -1       51           7    WAITING       -
     2    1         -1       17           3    WAITING       -
     2    2          7       60           5    RUNNING       4
     2    3          2       23           1      READY       1
     2    4         -1       25          10    WAITING       -
     2    5          8       40          10      READY       8
     2    6         -1       22           4    WAITING       -
     2    7          1       47           1      READY       1
     2    8          5       43           3    RUNNING       5
     2    9         -1       17           3    WAITING       -
     2   10         -1       49           4    WAITING       -
     2   11          3       16           1      READY       0
     2   12         -1       56           5    WAITING       -
     2   13          4       64           5    RUNNING       0
     2   14         -1       21           5    WAITING       -
     2   15          9       30           8      READY       2
     2   16         -1       55           6    WAITING       -
     2   17          0       32           9      READY       0
     2   18          6       32           4    RUNNING       0
     2   19         -1       33           7    WAITING       -

  Tick   ID   Location   Memory   Time Left     Status  Wasted
     3    0         -1       51           7    WAITING       -
     3    1         -1       17           3    WAITING       -
     3    2          7       60           5      READY       4
     3    3          2       23           1      READY       1
     3    4         -1       25          10    WAITING       -
     3    5          8       40           9    RUNNING       8
     3    6         -1       22           4    WAITING       -
     3    7         -1       47           0   FINISHED       -
     3    8          5       43           3      READY       5
     3    9         -1       17           3    WAITING       -
     3   10         -1       49           4    WAITING       -
     3   11          3       16           1      READY       0
     3   12         -1       56           5    WAITING       -
     3   13          4       64           5      READY       0
     3   14         -1       21           5    WAITING       -
     3   15          9       30           7    RUNNING       2
     3   16         -1       55           6    WAITING       -
     3   17          0       32           8    RUNNING       0
     3   18          6       32           4      READY       0
     3   19          1       33           7      READY      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
     4    0         -1       51           7    WAITING       -
     4    1         -1       17           3    WAITING       -
     4    2          7       60           5      READY       4
     4    3         -1       23           0   FINISHED       -
     4    4         -1       25          10    WAITING       -
     4    5          8       40           9      READY       8
     4    6          2       22           4      READY       2
     4    7         -1       47           0   FINISHED       -
     4    8          5       43           2    RUNNING       5
     4    9         -1       17           3    WAITING       -
     4   10         -1       49           4    WAITING       -
     4   11         -1       16           0   FINISHED       -
     4   12         -1       56           5    WAITING       -
     4   13          4       64           4    RUNNING       0
     4   14         -1       21           5    WAITING       -
     4   15          9       30           7      READY       2
     4   16         -1       55           6    WAITING       -
     4   17          0       32           8      READY       0
     4   18          6       32           4      READY       0
     4   19          1       33           7      READY      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
     5    0         -1       51           7    WAITING       -
     5    1         -1       17           3    WAITING       -
     5    2          7       60           4    RUNNING       4
     5    3         -1       23           0   FINISHED       -
     5    4         -1       25          10    WAITING       -
     5    5          8       40           8    RUNNING       8
     5    6          2       22           4      READY       2
     5    7         -1       47           0   FINISHED       -
     5    8          5       43           2      READY       5
     5    9         -1       17           3    WAITING       -
     5   10         -1       49           4    WAITING       -
     5   11         -1       16           0   FINISHED       -
     5   12         -1       56           5    WAITING       -
     5   13          4       64           4      READY       0
     5   14         -1       21           5    WAITING       -
     5   15          9       30           6    RUNNING       2
     5   16         -1       55           6    WAITING       -
     5   17          0       32           8      READY       0
     5   18          6       32           3    RUNNING       0
     5   19          1       33           7      READY      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
     6    0         -1       51           7    WAITING       -
     6    1         -1       17           3    WAITING       -
     6    2          7       60           4      READY       4
     6    3         -1       23           0   FINISHED       -
     6    4         -1       25          10    WAITING       -
     6    5          8       40           8      READY       8
     6    6          2       22           3    RUNNING       2
     6    7         -1       47           0   FINISHED       -
     6    8          5       43           2      READY       5
     6    9         -1       17           3    WAITING       -
     6   10         -1       49           4    WAITING       -
     6   11         -1       16           0   FINISHED       -
     6   12         -1       56           5    WAITING       -
     6   13          4       64           3    RUNNING       0
     6   14         -1       21           5    WAITING       -
     6   15          9       30           6      READY       2
     6   16         -1       55           6    WAITING       -
     6   17          0       32           7    RUNNING       0
     6   18          6       32           3      READY       0
     6   19          1       33           6    RUNNING      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
     7    0         -1       51           7    WAITING       -
     7    1         -1       17           3    WAITING       -
     7    2          7       60           3    RUNNING       4
     7    3         -1       23           0   FINISHED       -
     7    4         -1       25          10    WAITING       -
     7    5          8       40           8      READY       8
     7    6          2       22           3      READY       2
     7    7         -1       47           0   FINISHED       -
     7    8          5       43           1    RUNNING       5
     7    9         -1       17           3    WAITING       -
     7   10         -1       49           4    WAITING       -
     7   11         -1       16           0   FINISHED       -
     7   12         -1       56           5    WAITING       -
     7   13          4       64           2    RUNNING       0
     7   14         -1       21           5    WAITING       -
     7   15          9       30           6      READY       2
     7   16         -1       55           6    WAITING       -
     7   17          0       32           7      READY       0
     7   18          6       32           2    RUNNING       0
     7   19          1       33           6      READY      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
     8    0         -1       51           7    WAITING       -
     8    1         -1       17           3    WAITING       -
     8    2          7       60           3      READY       4
     8    3         -1       23           0   FINISHED       -
     8    4         -1       25          10    WAITING       -
     8    5          8       40           7    RUNNING       8
     8    6          2       22           3      READY       2
     8    7         -1       47           0   FINISHED       -
     8    8          5       43           1      READY       5
     8    9         -1       17           3    WAITING       -
     8   10         -1       49           4    WAITING       -
     8   11         -1       16           0   FINISHED       -
     8   12         -1       56           5    WAITING       -
     8   13          4       64           2      READY       0
     8   14         -1       21           5    WAITING       -
     8   15          9       30           5    RUNNING       2
     8   16         -1       55           6    WAITING       -
     8   17          0       32           6    RUNNING       0
     8   18          6       32           2      READY       0
     8   19          1       33           5    RUNNING      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
     9    0         -1       51           7    WAITING       -
     9    1         -1       17           3    WAITING       -
     9    2          7       60           3      READY       4
     9    3         -1       23           0   FINISHED       -
     9    4          5       25          10      READY      23
     9    5          8       40           7      READY       8
     9    6          2       22           2    RUNNING       2
     9    7         -1       47           0   FINISHED       -
     9    8         -1       43           0   FINISHED       -
     9    9         -1       17           3    WAITING       -
     9   10         -1       49           4    WAITING       -
     9   11         -1       16           0   FINISHED       -
     9   12         -1       56           5    WAITING       -
     9   13          4       64           1    RUNNING       0
     9   14         -1       21           5    WAITING       -
     9   15          9       30           5      READY       2
     9   16         -1       55           6    WAITING       -
     9   17          0       32           6      READY       0
     9   18          6       32           1    RUNNING       0
     9   19          1       33           5      READY      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    10    0         -1       51           7    WAITING       -
    10    1         -1       17           3    WAITING       -
    10    2          7       60           2    RUNNING       4
    10    3         -1       23           0   FINISHED       -
    10    4          5       25          10      READY      23
    10    5          8       40           6    RUNNING       8
    10    6          2       22           2      READY       2
    10    7         -1       47           0   FINISHED       -
    10    8         -1       43           0   FINISHED       -
    10    9         -1       17           3    WAITING       -
    10   10         -1       49           4    WAITING       -
    10   11         -1       16           0   FINISHED       -
    10   12         -1       56           5    WAITING       -
    10   13          4       64           1      READY       0
    10   14          6       21           5      READY      11
    10   15          9       30           4    RUNNING       2
    10   16         -1       55           6    WAITING       -
    10   17          0       32           6      READY       0
    10   18         -1       32           0   FINISHED       -
    10   19          1       33           5      READY      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    11    0         -1       51           7    WAITING       -
    11    1         -1       17           3    WAITING       -
    11    2          7       60           2      READY       4
    11    3         -1       23           0   FINISHED       -
    11    4          5       25          10      READY      23
    11    5          8       40           6      READY       8
    11    6          2       22           1    RUNNING       2
    11    7         -1       47           0   FINISHED       -
    11    8         -1       43           0   FINISHED       -
    11    9         -1       17           3    WAITING       -
    11   10         -1       49           4    WAITING       -
    11   11         -1       16           0   FINISHED       -
    11   12          4       56           5      READY       8
    11   13         -1       64           0   FINISHED       -
    11   14          6       21           5      READY      11
    11   15          9       30           4      READY       2
    11   16         -1       55           6    WAITING       -
    11   17          0       32           5    RUNNING       0
    11   18         -1       32           0   FINISHED       -
    11   19          1       33           4    RUNNING      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    12    0         -1       51           7    WAITING       -
    12    1         -1       17           3    WAITING       -
    12    2          7       60           1    RUNNING       4
    12    3         -1       23           0   FINISHED       -
    12    4          5       25           9    RUNNING      23
    12    5          8       40           6      READY       8
    12    6          2       22           1      READY       2
    12    7         -1       47           0   FINISHED       -
    12    8         -1       43           0   FINISHED       -
    12    9         -1       17           3    WAITING       -
    12   10         -1       49           4    WAITING       -
    12   11         -1       16           0   FINISHED       -
    12   12          4       56           4    RUNNING       8
    12   13         -1       64           0   FINISHED       -
    12   14          6       21           4    RUNNING      11
    12   15          9       30           4      READY       2
    12   16         -1       55           6    WAITING       -
    12   17          0       32           5      READY       0
    12   18         -1       32           0   FINISHED       -
    12   19          1       33           4      READY      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    13    0         -1       51           7    WAITING       -
    13    1         -1       17           3    WAITING       -
    13    2          7       60           1      READY       4
    13    3         -1       23           0   FINISHED       -
    13    4          5       25           9      READY      23
    13    5          8       40           5    RUNNING       8
    13    6          2       22           1      READY       2
    13    7         -1       47           0   FINISHED       -
    13    8         -1       43           0   FINISHED       -
    13    9         -1       17           3    WAITING       -
    13   10         -1       49           4    WAITING       -
    13   11         -1       16           0   FINISHED       -
    13   12          4       56           4      READY       8
    13   13         -1       64           0   FINISHED       -
    13   14          6       21           4      READY      11
    13   15          9       30           3    RUNNING       2
    13   16         -1       55           6    WAITING       -
    13   17          0       32           4    RUNNING       0
    13   18         -1       32           0   FINISHED       -
    13   19          1       33           3    RUNNING      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    14    0         -1       51           7    WAITING       -
    14    1         -1       17           3    WAITING       -
    14    2          7       60           1      READY       4
    14    3         -1       23           0   FINISHED       -
    14    4          5       25           8    RUNNING      23
    14    5          8       40           5      READY       8
    14    6         -1       22           0   FINISHED       -
    14    7         -1       47           0   FINISHED       -
    14    8         -1       43           0   FINISHED       -
    14    9          2       17           3      READY       7
    14   10         -1       49           4    WAITING       -
